time_ms,ent_idx,bone,world_x,world_y,world_z,scr_x,scr_y,visible,box_x,box_y,box_w,box_h,bonearray_ptr,vm_w0,vm_w1,vm_w2,vm_w3
40801126,23,ankle_L,-498.44,1146.31,4.39,1098.40,571.39,1,1075.26,523.47,30.43,50.71,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40801126,23,ankle_R,-519.57,1162.80,4.43,1087.20,570.29,1,1075.26,523.47,30.43,50.71,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40801126,24,head,-1148.29,829.13,64.07,576.96,527.53,1,511.88,510.17,130.17,216.95,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40801126,24,neck_0,-1150.52,832.73,60.17,578.39,530.32,1,511.88,510.17,130.17,216.95,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40801126,24,pelvis,-1151.85,838.54,38.67,581.80,545.56,1,511.88,510.17,130.17,216.95,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40801126,24,ankle_L,-1137.42,833.85,4.39,585.47,570.34,1,511.88,510.17,130.17,216.95,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40801126,24,ankle_R,-1163.96,837.57,4.43,575.94,569.65,1,511.88,510.17,130.17,216.95,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40801126,25,head,-829.35,1148.13,64.07,894.79,527.53,1,842.87,513.69,443.38,173.06,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40801126,25,neck_0,-830.36,1152.24,60.17,895.69,530.00,1,842.87,513.69,443.38,173.06,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40801126,25,pelvis,-829.84,1158.18,38.67,898.03,543.50,1,842.87,513.69,443.38,173.06,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40801126,25,ankle_L,-817.56,1149.26,4.39,901.55,565.49,1,842.87,513.69,443.38,173.06,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40801126,25,ankle_R,-841.65,1160.99,4.43,892.81,564.75,1,842.87,513.69,443.38,173.06,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40802126,23,head,-510.15,1147.25,63.99,1090.42,527.59,1,1075.23,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
